id	collectionCode	basisOfRecord	occurrenceID	recordedBy	individualCount	sex	lifeStage	behavior	occurrenceStatus	occurrenceRemarks	eventID	scientificName	kingdom	phylum	class	order	taxonRank	vernacularName	nomenclaturalCode
INBO:MEETNET:EVENT:231380	meetnetten	HumanObservation	INBO:MEETNET:OCC:0751240	https://meetnetten.be	1	male	adult	present	present	casual observation	INBO:MEETNET:EVENT:231380	Calopteryx virgo	Animalia	Arthropoda	Insecta	Odonata	species	Bosbeekjuffer	ICZN
INBO:MEETNET:EVENT:231380	meetnetten	HumanObservation	INBO:MEETNET:OCC:0751247	https://meetnetten.be	0	female	adult	egg laying	absent	casual observation	INBO:MEETNET:EVENT:231380	Calopteryx virgo	Animalia	Arthropoda	Insecta	Odonata	species	Bosbeekjuffer	ICZN
INBO:MEETNET:EVENT:231380	meetnetten	HumanObservation	INBO:MEETNET:OCC:0751248	https://meetnetten.be	0	unknown	exuviae	present	absent	casual observation	INBO:MEETNET:EVENT:231380	Calopteryx virgo	Animalia	Arthropoda	Insecta	Odonata	species	Bosbeekjuffer	ICZN
INBO:MEETNET:EVENT:231380	meetnetten	HumanObservation	INBO:MEETNET:OCC:0751241	https://meetnetten.be	1	male	adult	present	present	casual observation	INBO:MEETNET:EVENT:231380	Calopteryx virgo	Animalia	Arthropoda	Insecta	Odonata	species	Bosbeekjuffer	ICZN
INBO:MEETNET:EVENT:231380	meetnetten	HumanObservation	INBO:MEETNET:OCC:0751242	https://meetnetten.be	1	male	adult	present	present	casual observation	INBO:MEETNET:EVENT:231380	Calopteryx virgo	Animalia	Arthropoda	Insecta	Odonata	species	Bosbeekjuffer	ICZN
INBO:MEETNET:EVENT:231380	meetnetten	HumanObservation	INBO:MEETNET:OCC:0751243	https://meetnetten.be	0	female	adult	present	absent	casual observation	INBO:MEETNET:EVENT:231380	Calopteryx virgo	Animalia	Arthropoda	Insecta	Odonata	species	Bosbeekjuffer	ICZN
INBO:MEETNET:EVENT:231380	meetnetten	HumanObservation	INBO:MEETNET:OCC:0751244	https://meetnetten.be	0	unknown	adult	present	absent	casual observation	INBO:MEETNET:EVENT:231380	Calopteryx virgo	Animalia	Arthropoda	Insecta	Odonata	species	Bosbeekjuffer	ICZN
INBO:MEETNET:EVENT:231380	meetnetten	HumanObservation	INBO:MEETNET:OCC:0751245	https://meetnetten.be	0	unknown	imago	present	absent	casual observation	INBO:MEETNET:EVENT:231380	Calopteryx virgo	Animalia	Arthropoda	Insecta	Odonata	species	Bosbeekjuffer	ICZN
INBO:MEETNET:EVENT:231380	meetnetten	HumanObservation	INBO:MEETNET:OCC:0751246	https://meetnetten.be	0	unknown	adult	copula	absent	casual observation	INBO:MEETNET:EVENT:231380	Calopteryx virgo	Animalia	Arthropoda	Insecta	Odonata	species	Bosbeekjuffer	ICZN
INBO:MEETNET:EVENT:247033	meetnetten	HumanObservation	INBO:MEETNET:OCC:0796975	https://meetnetten.be	5	male	adult	present	present	target species	INBO:MEETNET:EVENT:247033	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
INBO:MEETNET:EVENT:247033	meetnetten	HumanObservation	INBO:MEETNET:OCC:0796976	https://meetnetten.be	0	female	adult	present	absent	target species	INBO:MEETNET:EVENT:247033	Coenagrion pulchellum	Animalia	Arthropoda	Insecta	Odonata	species	Variabele waterjuffer	ICZN
